TP_SEXO,NT_GER,QE_I01,QE_I02,QE_I08
F,36.4,A,C,A
M,66.3,A,D,A
M,27.3,A,A,A
F,54.6,A,A,B
M,34.8,A,D,A
M,44.2,A,D,A
F,34.1,A,D,A
M,38.9,A,A,C
F,47.6,A,D,C
M,41.4,A,D,A
F,58.3,A,D,C
F,41.1,A,D,A
F,42.5,B,D,A
F,61.2,A,F,A
F,35,A,C,A
F,52.9,B,D,A
F,24.2,A,D,A
M,40.3,A,A,C
F,39.8,A,D,A
F,47.3,A,D,B
M,59.9,A,A,B
F,41,B,D,B
F,53.2,A,A,B
M,65.1,A,F,B
F,38.7,A,A,A
F,30.7,A,A,B
M,58,C,A,A
M,54.5,A,A,B
F,33.8,A,D,A
F,62.7,A,D,A
F,44.6,A,D,A
M,42.7,B,D,A
M,45.6,A,D,B
F,37.5,A,D,A
M,55.7,A,B,A
M,48.4,A,D,B
M,31.5,A,B,A
F,31.1,A,A,A
M,70.7,B,F,B
M,32.1,A,F,B
F,55.9,A,D,B
M,41.9,A,B,A
F,36.1,A,B,A
F,40.3,A,A,A
F,34.9,C,A,A
F,31.8,A,A,A
F,46.3,A,A,D
F,27.3,A,F,A
M,64.1,B,B,A
F,54.3,A,D,A
M,35.2,A,B,B
F,48.2,B,D,B
F,42.5,A,D,A
F,38.7,E,D,A
F,43.8,B,D,A
F,38,A,C,A
F,53.6,A,B,B
M,61.1,A,C,A
M,40,B,B,B
F,52.3,A,D,C
M,32.2,B,A,C
F,38.8,A,B,A
M,37.9,B,D,F
M,53.8,A,B,B
M,37.4,A,A,B
F,36.6,B,D,A
M,24.9,A,B,C
F,50.4,B,D,A
M,21.9,A,C,B
F,37.9,B,D,B
F,36.2,B,A,A
M,42.1,A,D,B
F,36.2,D,D,A
M,54.9,E,A,B
M,36.6,A,F,A
F,46.5,B,A,B
F,45.7,A,A,C
F,27.8,A,D,B
M,47.1,A,D,B
M,51,A,A,B
F,51.2,A,D,A
F,26.2,A,D,A
M,48.3,B,D,C
M,61.4,A,C,A
F,30.9,A,A,A
F,27.2,B,D,A
M,57.9,A,D,A
