CO_CURSO,TP_SEXO,NT_GER,EST_CIVIL,COR_RACA,RENDA
13405,F,36.4,SOLTEIRO(A),AMARELA,ATE 1.5
13405,M,66.3,SOLTEIRO(A),PARDA,ATE 1.5
13405,M,27.3,SOLTEIRO(A),BRANCA,ATE 1.5
13405,F,54.6,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13405,M,34.8,SOLTEIRO(A),PARDA,ATE 1.5
13405,M,44.2,SOLTEIRO(A),PARDA,ATE 1.5
13405,F,34.1,SOLTEIRO(A),PARDA,ATE 1.5
13405,M,38.9,SOLTEIRO(A),BRANCA,DE 3 A 4.5
13405,F,47.6,SOLTEIRO(A),PARDA,DE 3 A 4.5
13405,M,41.4,SOLTEIRO(A),PARDA,ATE 1.5
13405,F,58.3,SOLTEIRO(A),PARDA,DE 3 A 4.5
13405,F,41.1,SOLTEIRO(A),PARDA,ATE 1.5
13405,F,42.5,CASADO(A),PARDA,ATE 1.5
13405,F,61.2,SOLTEIRO(A),NAO DECLARADO,ATE 1.5
13405,F,35,SOLTEIRO(A),AMARELA,ATE 1.5
13405,F,52.9,CASADO(A),PARDA,ATE 1.5
13405,F,24.2,SOLTEIRO(A),PARDA,ATE 1.5
13405,M,40.3,SOLTEIRO(A),BRANCA,DE 3 A 4.5
13405,F,39.8,SOLTEIRO(A),PARDA,ATE 1.5
13405,F,47.3,SOLTEIRO(A),PARDA,DE 1.5 A 3
13405,M,59.9,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13405,F,41,CASADO(A),PARDA,DE 1.5 A 3
13405,F,53.2,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13405,M,65.1,SOLTEIRO(A),NAO DECLARADO,DE 1.5 A 3
13405,F,38.7,SOLTEIRO(A),BRANCA,ATE 1.5
13405,F,30.7,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13405,M,58,SEPARADO(A),BRANCA,ATE 1.5
13405,M,54.5,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13405,F,33.8,SOLTEIRO(A),PARDA,ATE 1.5
13405,F,62.7,SOLTEIRO(A),PARDA,ATE 1.5
13405,F,44.6,SOLTEIRO(A),PARDA,ATE 1.5
13405,M,42.7,CASADO(A),PARDA,ATE 1.5
13405,M,45.6,SOLTEIRO(A),PARDA,DE 1.5 A 3
13405,F,37.5,SOLTEIRO(A),PARDA,ATE 1.5
13405,M,55.7,SOLTEIRO(A),PRETA,ATE 1.5
13405,M,48.4,SOLTEIRO(A),PARDA,DE 1.5 A 3
13405,M,31.5,SOLTEIRO(A),PRETA,ATE 1.5
13405,F,31.1,SOLTEIRO(A),BRANCA,ATE 1.5
13405,M,70.7,CASADO(A),NAO DECLARADO,DE 1.5 A 3
13405,M,32.1,SOLTEIRO(A),NAO DECLARADO,DE 1.5 A 3
13405,F,55.9,SOLTEIRO(A),PARDA,DE 1.5 A 3
13405,M,41.9,SOLTEIRO(A),PRETA,ATE 1.5
13405,F,36.1,SOLTEIRO(A),PRETA,ATE 1.5
13405,F,40.3,SOLTEIRO(A),BRANCA,ATE 1.5
13405,F,34.9,SEPARADO(A),BRANCA,ATE 1.5
13405,F,31.8,SOLTEIRO(A),BRANCA,ATE 1.5
13405,F,46.3,SOLTEIRO(A),BRANCA,DE 4.5 A 6
13405,F,27.3,SOLTEIRO(A),NAO DECLARADO,ATE 1.5
13405,M,64.1,CASADO(A),PRETA,ATE 1.5
13405,F,54.3,SOLTEIRO(A),PARDA,ATE 1.5
13405,M,35.2,SOLTEIRO(A),PRETA,DE 1.5 A 3
13405,F,48.2,CASADO(A),PARDA,DE 1.5 A 3
13405,F,42.5,SOLTEIRO(A),PARDA,ATE 1.5
13405,F,38.7,OUTRO,PARDA,ATE 1.5
13405,F,43.8,CASADO(A),PARDA,ATE 1.5
13405,F,38,SOLTEIRO(A),AMARELA,ATE 1.5
13405,F,53.6,SOLTEIRO(A),PRETA,DE 1.5 A 3
13405,M,61.1,SOLTEIRO(A),AMARELA,ATE 1.5
13405,M,40,CASADO(A),PRETA,DE 1.5 A 3
13405,F,52.3,SOLTEIRO(A),PARDA,DE 3 A 4.5
13405,M,32.2,CASADO(A),BRANCA,DE 3 A 4.5
13405,F,38.8,SOLTEIRO(A),PRETA,ATE 1.5
13405,M,37.9,CASADO(A),PARDA,F
13405,M,53.8,SOLTEIRO(A),PRETA,DE 1.5 A 3
13405,M,37.4,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13405,F,36.6,CASADO(A),PARDA,ATE 1.5
13405,M,24.9,SOLTEIRO(A),PRETA,DE 3 A 4.5
13405,F,50.4,CASADO(A),PARDA,ATE 1.5
13405,M,21.9,SOLTEIRO(A),AMARELA,DE 1.5 A 3
13405,F,37.9,CASADO(A),PARDA,DE 1.5 A 3
13405,F,36.2,CASADO(A),BRANCA,ATE 1.5
13405,M,42.1,SOLTEIRO(A),PARDA,DE 1.5 A 3
13405,F,36.2,VIUVO(A),PARDA,ATE 1.5
13407,M,54.9,OUTRO,BRANCA,DE 1.5 A 3
13407,M,36.6,SOLTEIRO(A),NAO DECLARADO,ATE 1.5
13407,F,46.5,CASADO(A),BRANCA,DE 1.5 A 3
13407,F,45.7,SOLTEIRO(A),BRANCA,DE 3 A 4.5
13407,F,27.8,SOLTEIRO(A),PARDA,DE 1.5 A 3
13407,M,47.1,SOLTEIRO(A),PARDA,DE 1.5 A 3
13407,M,51,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13407,F,51.2,SOLTEIRO(A),PARDA,ATE 1.5
13407,F,26.2,SOLTEIRO(A),PARDA,ATE 1.5
13407,M,48.3,CASADO(A),PARDA,DE 3 A 4.5
13407,M,61.4,SOLTEIRO(A),AMARELA,ATE 1.5
13407,F,30.9,SOLTEIRO(A),BRANCA,ATE 1.5
13407,F,27.2,CASADO(A),PARDA,ATE 1.5
13407,M,57.9,SOLTEIRO(A),PARDA,ATE 1.5
13407,F,37.6,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13407,F,32.4,SOLTEIRO(A),BRANCA,ATE 1.5
13407,F,44,SOLTEIRO(A),PARDA,ATE 1.5
13407,F,34.1,CASADO(A),BRANCA,DE 1.5 A 3
13407,F,38.7,SOLTEIRO(A),AMARELA,ATE 1.5
13407,F,36.8,SOLTEIRO(A),AMARELA,ATE 1.5
13407,F,47.3,SOLTEIRO(A),PARDA,DE 1.5 A 3
13407,F,43.4,SOLTEIRO(A),PARDA,ATE 1.5
13407,F,36.8,SOLTEIRO(A),PARDA,ATE 1.5
13407,F,59.7,SOLTEIRO(A),PARDA,ATE 1.5
13407,M,71.5,SOLTEIRO(A),BRANCA,ATE 1.5
13407,M,51.7,SOLTEIRO(A),PRETA,DE 1.5 A 3
13407,F,50.3,CASADO(A),PARDA,ATE 1.5
13407,F,65.1,SOLTEIRO(A),BRANCA,DE 1.5 A 3
13407,M,58.6,SOLTEIRO(A),PARDA,ATE 1.5
13407,F,37.8,SOLTEIRO(A),PARDA,ATE 1.5
13407,M,39.4,SOLTEIRO(A),PARDA,DE 1.5 A 3
13407,F,61.1,SOLTEIRO(A),PARDA,DE 4.5 A 6
13407,M,66.3,SOLTEIRO(A),PARDA,ATE 1.5
13407,M,51.4,CASADO(A),BRANCA,DE 1.5 A 3
13407,F,66.5,SOLTEIRO(A),BRANCA,ATE 1.5
13407,M,61.5,SOLTEIRO(A),PRETA,DE 1.5 A 3
13407,M,48,SOLTEIRO(A),BRANCA,ATE 1.5
13407,F,50.7,SOLTEIRO(A),PRETA,ATE 1.5
13407,M,35.7,SOLTEIRO(A),PARDA,ATE 1.5
13407,F,35.3,CASADO(A),BRANCA,ATE 1.5
13407,F,26.4,SOLTEIRO(A),PARDA,ATE 1.5
13407,F,20.8,SOLTEIRO(A),BRANCA,ATE 1.5
13407,M,52.2,SOLTEIRO(A),PARDA,DE 4.5 A 6
13410,M,56,SOLTEIRO(A),PRETA,DE 1.5 A 3
